Title,Year,Genre,Country,imdbRating,imdbVotes,imdbID,Year2,imdbRating2
The New Batman Adventures,1997–1999,"Animation, Action, Adventure, Crime, Drama, Family, Mystery",USA,8.5,"11,490",tt0118266,1997,85
Brass Eye,1997–2001,Comedy,UK,8.6,"8,328",tt0118273,1997,86
Brooklyn South,1997–1998,"Crime, Drama",USA,6.9,614,tt0118275,1997,69
Buffy the Vampire Slayer,1996–2003,"Action, Drama, Fantasy, Romance",USA,8.2,"117,045",tt0118276,1996,82
Die Camper,1997–,Comedy,Germany,4.6,169,tt0118281,1997,46
The Chris Rock Show,1997–2000,"Comedy, Music, Talk-Show",USA,6.8,615,tt0118285,1997,68
Cow and Chicken,1995–1999,"Animation, Comedy, Family, Fantasy",USA,6.6,"16,194",tt0118289,1995,66
Cracker: Mind Over Murder,1997–1998,"Crime, Drama, Mystery",USA,5.8,292,tt0118290,1997,58
Crime Traveller,1997–,"Crime, Drama, Mystery",UK,7.2,289,tt0118292,1997,72
Daria,1997–2001,"Animation, Comedy, Drama, Romance",USA,8.1,"21,325",tt0118298,1997,81
Dawson's Creek,1998–2003,"Drama, Romance",USA,6.6,"30,875",tt0118300,1998,66
Dharma & Greg,1997–2002,"Comedy, Romance",USA,6.3,"26,424",tt0118303,1997,63
Fired Up,1997–1998,Comedy,USA,6.7,127,tt0118315,1997,67
You Wish,1997–,Comedy,USA,7.5,109,tt0118322,1997,75
George & Leo,1997–1998,Comedy,USA,7.6,100,tt0118323,1997,76
Good Guys Bad Guys,1997–1998,"Crime, Drama, Mystery",Australia,8.5,98,tt0118326,1997,85
The Grand,1997–1998,Drama,UK,7.5,539,tt0118327,1997,75
Gun,1997–,Drama,USA,6.1,273,tt0118330,1997,61
Herman Enciclopédia,1997–1998,Comedy,Portugal,8.7,303,tt0118337,1997,87
Space Goofs,1997–,"Animation, Comedy, Family","France, Canada",7.1,303,tt0118343,1997,71
The Hunger,1997–2000,"Drama, Horror","UK, Canada, USA",6.4,720,tt0118346,1997,64
The Jenny McCarthy Show,1997–,"Comedy, Music",USA,4.7,107,tt0118355,1997,47
Jiskefet,1990–,Comedy,Netherlands,8.6,326,tt0118358,1990,86
Once a Thief,1996–1998,"Action, Comedy, Crime",Canada,7,501,tt0118359,1996,70
Johnny Bravo,1997–2004,"Animation, Comedy, Family",USA,7.3,"28,582",tt0118360,1997,73
Jonathan Creek,1997–2016,"Crime, Drama, Mystery",UK,8.2,"5,751",tt0118363,1997,82
Just Shoot Me!,1997–2003,Comedy,USA,6.9,"15,677",tt0118364,1997,69
Kees & Co.,1997–2006,Comedy,Netherlands,6.6,266,tt0118372,1997,66
King of the Hill,1997–2010,"Animation, Comedy, Drama",USA,7.3,"41,398",tt0118375,1997,73
Küstenwache,1997–,"Crime, Drama",Germany,5,152,tt0118378,1997,50
La Femme Nikita,1997–2001,"Action, Drama, Romance, Thriller",Canada,7.5,"8,281",tt0118379,1997,75
Lassie,1997–,"Drama, Family","Canada, USA",6.2,245,tt0118380,1997,62
Meego,1997–,"Comedy, Sci-Fi",USA,5.5,101,tt0118397,1997,55
Midsomer Murders,1997–,"Crime, Drama, Mystery",UK,7.8,"19,249",tt0118401,1997,78
Murder Call,1997–1999,"Drama, Crime, Thriller",Australia,7.5,108,tt0118406,1997,75
Nothing Sacred,1997–1998,Drama,USA,8,108,tt0118411,1997,80
The Odyssey,1997–,"Adventure, Drama, Fantasy, History","UK, Italy, Germany, USA, Turkey, South Africa",7,"12,538",tt0118414,1997,70
Oz,1997–2003,"Crime, Drama, Thriller",USA,8.7,"80,036",tt0118421,1997,87
Pacific Palisades,1997,Drama,USA,7.7,150,tt0118422,1997,77
Pauly,1997–,Comedy,USA,3.3,108,tt0118423,1997,33
Pelle Svanslös,1997–,Family,"Sweden, Finland",6.9,350,tt0118424,1997,69
Perversions of Science,1997,"Comedy, Horror, Sci-Fi",USA,6.5,201,tt0118426,1997,65
Players,1997–1998,"Action, Crime, Drama",USA,7.5,187,tt0118431,1997,75
Port Charles,1997–2003,Drama,USA,6.8,282,tt0118435,1997,68
Power Rangers Turbo,1997–1998,"Action, Family, Adventure, Fantasy, Sci-Fi, Thriller","USA, France, Japan",5.9,"1,612",tt0118436,1997,59
The Practice,1997–2004,"Crime, Drama, Mystery",USA,7.7,"6,639",tt0118437,1997,77
Riscos,1997–1998,"Drama, Romance",Portugal,7.8,118,tt0118449,1997,78
Roar,1997–,"Action, Adventure, Fantasy",USA,7.6,"1,023",tt0118451,1997,76
Skärgårdsdoktorn,1997–2000,Drama,"Sweden, Denmark, Finland, Norway, Iceland",7.2,338,tt0118463,1997,72
Sleepwalkers,1997–,"Drama, Mystery, Sci-Fi",USA,6.3,96,tt0118464,1997,63
Smart Guy,1997–1999,"Comedy, Drama, Family",USA,7.5,"3,864",tt0118466,1997,75
Snoken,1993–1997,"Crime, Drama",Sweden,6.7,132,tt0118467,1993,67
"Soldier of Fortune, Inc.",1997–1999,"Action, Adventure","USA, Canada",7.4,405,tt0118469,1997,74
Soul Man,1997–1998,"Comedy, Family",USA,6.1,200,tt0118473,1997,61
Spawn,1997–1999,"Animation, Action, Crime, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",USA,8.1,"6,516",tt0118475,1997,81
Spellbinder: Land of the Dragon Lord,1997–,"Adventure, Family, Fantasy","Poland, Australia, China",7.9,651,tt0118476,1997,79
Spy Game,1997,"Action, Adventure, Comedy",USA,8.1,192,tt0118478,1997,81
Stargate SG-1,1997–2007,"Action, Adventure, Drama, Sci-Fi","USA, Canada",8.4,"76,548",tt0118480,1997,84
Sunset Beach,1997–1999,"Drama, Romance",USA,6.9,"1,923",tt0118484,1997,69
Teen Angel,1997–1998,"Comedy, Fantasy",USA,7.4,609,tt0118487,1997,74
Timecop,1997–,"Adventure, Sci-Fi",USA,6.9,367,tt0118492,1997,69
Touching Evil,1997–1999,"Crime, Drama, Mystery","UK, USA",7.9,"1,386",tt0118497,1997,79
USA High,1997–1999,Comedy,USA,6.7,384,tt0118500,1997,67
Veronica's Closet,1997–2000,Comedy,USA,5.7,"1,390",tt0118506,1997,57
The Visitor,1997–1998,"Drama, Sci-Fi",USA,7.3,342,tt0118509,1997,73
The Wayne Manifesto,1996–,"Family, Comedy",Australia,8.1,113,tt0118512,1996,81
The Weird Al Show,1997–1998,"Family, Comedy, Musical",USA,7.6,421,tt0118513,1997,76
Win Ben Stein's Money,1997–2002,"Comedy, Game-Show",USA,6.8,988,tt0118515,1997,68
Working,1997–1999,Comedy,USA,7.6,440,tt0118517,1997,76
Dilbert,1999–2000,"Animation, Comedy",USA,7.3,"5,204",tt0118984,1999,73
Fame L.A.,1997–1998,Drama,USA,5.3,140,tt0119101,1997,53
Wildside,1997–1999,"Crime, Drama, Mystery",Australia,8.2,132,tt0120515,1997,82
Conan,1997–1998,"Action, Adventure, Fantasy","Germany, USA, Mexico",5.3,"1,011",tt0120569,1997,53
Ace London,1998,"Adventure, Comedy",,7.4,63,tt0120573,1998,74
Power Rangers in Space,1998–1999,"Action, Adventure, Family, Sci-Fi","USA, France, Japan",7.3,"2,242",tt0120575,1998,73
Battlefield,1995–,"Documentary, History, War","Canada, UK, USA",8.6,379,tt0120926,1995,86
Super Bloopers and Pratical Jokes,1984–,"Comedy, Reality-TV",USA,6.7,85,tt0120930,1984,67
Curro Jiménez,1976–1979,"Action, Adventure, Comedy",Spain,7.5,151,tt0120946,1976,75
Czterdziestolatek,1975–,Comedy,Poland,7.5,239,tt0120947,1975,75
Dog City,1992–,"Animation, Comedy, Family","Canada, USA",7.2,236,tt0120949,1992,72
Fortunata y Jacinta,1980,,"Spain, France",8.2,79,tt0120960,1980,82
Jerry Springer,1991–,"Comedy, Drama, Talk-Show",USA,3.8,"3,521",tt0120974,1991,38
Khane sabz,1996–2002,,Iran,7.9,438,tt0120977,1996,79
Maury,1991–,"Comedy, Drama, Talk-Show",USA,4.3,"1,661",tt0120986,1991,43
The Montel Williams Show,1991–,"Drama, Talk-Show",USA,4.1,309,tt0120992,1991,41
Nonni and Manni,1988–,"Adventure, Family","Iceland, West Germany",8.2,134,tt0121003,1988,82
Pistruiatul,1973–,,Romania,8.4,419,tt0121010,1973,84
Toate pînzele sus,1977–,"Action, Adventure",Romania,8.9,"1,309",tt0121033,1977,89
White Fang,1993–,"Adventure, Family","Canada, France",6.3,104,tt0121043,1993,63
Willo the Wisp,1981–,"Animation, Family",UK,7.7,265,tt0121044,1981,77
Dragon Ball Z,1989–1996,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi, Thriller",Japan,8.7,"56,693",tt0121220,1989,87
Tankki täyteen,1978–1980,Comedy,Finland,8.2,256,tt0121788,1978,82
Extreme Ghostbusters,1997,"Animation, Action, Comedy",USA,7.2,"2,272",tt0121932,1997,72
Reinikainen,1982–1983,Comedy,Finland,7.7,278,tt0121952,1982,77
South Park,1997–,"Animation, Comedy",USA,8.7,"296,903",tt0121955,1997,87
Wild & Crazy Kids,1990–2002,"Action, Family",USA,7.5,720,tt0121967,1990,75
Key: The Metal Idol,1994–,"Animation, Drama, Fantasy","Japan, USA",7.6,233,tt0122129,1994,76
Absolutely,1989–1993,Comedy,UK,8.1,191,tt0122332,1989,81
Acropolis Now,1989–1992,Comedy,Australia,7.2,270,tt0122333,1989,72
Al salir de clase,1997–2002,"Comedy, Drama, Romance",Spain,3.5,268,tt0122335,1997,35
Captain Future,1978–1979,"Animation, Adventure, Sci-Fi","France, Japan, West Germany",7.9,951,tt0122336,1978,79
Captain Simian & The Space Monkeys,1996–,"Comedy, Family, Sci-Fi",USA,7.9,177,tt0122337,1996,79
Dangerfield,1995–1999,"Crime, Drama",UK,7,88,tt0122339,1995,70
KaBlam!,1996–2000,"Animation, Comedy, Family",USA,8,"1,934",tt0122353,1996,80
Mortal Kombat: Defenders of the Realm,1995–1996,"Animation, Action, Adventure",USA,6.2,874,tt0122355,1995,62
The Mysterious Cities of Gold,1982–1983,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","France, Japan, Luxembourg",8.7,"3,108",tt0122356,1982,87
Vita lögner,1997–,Drama,Sweden,3.9,202,tt0122364,1997,39
The Lakes,1997–1999,Drama,UK,8.1,778,tt0122579,1997,81
The Adventures of Teddy Ruxpin,1987–1988,"Animation, Action, Adventure","USA, Canada",7.5,494,tt0122811,1987,75
Bob and Margaret,1998–2001,"Animation, Comedy","UK, Canada, USA, Philippines",6.9,532,tt0122813,1998,69
Disney's Doug,1996–1999,"Animation, Comedy, Drama",USA,6.2,282,tt0122815,1996,62
Enemy at the Door,1978–1980,"Drama, History, War",UK,7.9,132,tt0122818,1978,79
Linda,1984–,"Comedy, Crime",Hungary,6.9,236,tt0122824,1984,69
Mike & Angelo,1989–2000,"Comedy, Sci-Fi",UK,8,92,tt0122827,1989,80
Pip-Larssons,1998–,,Sweden,6.7,113,tt0122830,1998,67
Pistvakt - en vintersaga,1998–,"Comedy, Drama",Sweden,7.2,456,tt0122832,1998,72
Samurai Pizza Cats,1990–,"Animation, Action, Comedy","France, Japan",7.6,747,tt0122834,1990,76
Tales from the Cryptkeeper,1993–1999,"Animation, Comedy, Fantasy","Canada, USA, France",7.8,820,tt0122837,1993,78
Byhåla 2 - Tillbaka till Fårrden,1992–,Comedy,Sweden,7.4,113,tt0123343,1992,74
Hi-de-Hi!,1980–1988,Comedy,UK,6.7,803,tt0123349,1980,67
London's Burning,1988–2002,Drama,UK,7,426,tt0123355,1988,70
The People's Court,1997–,"Crime, Reality-TV",USA,6.4,637,tt0123357,1997,64
The Private Life of Plants,1995–,Documentary,UK,9,"2,254",tt0123360,1995,90
The View,1997–,Talk-Show,USA,2.9,"5,071",tt0123366,1997,29
Earth: Final Conflict,1997–2002,"Action, Drama, Mystery, Sci-Fi","Germany, Canada, USA",6.3,"3,505",tt0123816,1997,63
"You Rang, M'Lord?",1988–1993,Comedy,UK,8.7,"2,690",tt0124218,1988,87
Astroboy,1980–1981,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",Japan,7.4,712,tt0124228,1980,74
Attack of the Killer Tomatoes,1990–1991,"Animation, Comedy, Sci-Fi",USA,6.4,298,tt0124229,1990,64
The Bots Master,1993–1994,"Action, Animation, Comedy, Sci-Fi, Thriller",France,7.5,152,tt0124232,1993,75
La casa de los líos,1996–2000,,Spain,5,86,tt0124234,1996,50
Science Court,1997–,"Animation, Comedy, Family",USA,8.6,135,tt0124255,1997,86
Slimer! And the Real Ghostbusters,1988–1990,"Animation, Adventure, Comedy, Family, Sci-Fi",USA,5.7,478,tt0124257,1988,57
Spuk im Hochhaus,1982–,"Family, Comedy, Fantasy",East Germany,8.2,126,tt0124258,1982,82
Student Bodies,1997–1999,"Animation, Family, Comedy",Canada,6.3,703,tt0124260,1997,63
The Voyage of the Mimi,1984–,"Adventure, Family, History",USA,6.5,285,tt0124265,1984,65
The Vanishing Man,1997–,"Comedy, Drama, Mystery, Sci-Fi, Thriller",UK,5.5,168,tt0124915,1997,55
20/20,1978–,"Documentary, News",USA,6.6,"1,403",tt0124932,1978,66
Breaker High,1997–1998,Comedy,"USA, Canada",7.3,896,tt0124934,1997,73
Compañeros,1998–2002,"Comedy, Drama, Romance",Spain,5.7,448,tt0124938,1998,57
Hostal Royal Manzanares,1996–1998,,Spain,4.2,62,tt0124946,1996,42
Jungle Cubs,1996–1998,"Animation, Adventure, Comedy",USA,6.2,570,tt0124949,1996,62
Manos a la obra,1997–2001,Comedy,Spain,4.7,268,tt0124955,1997,47
Periodistas,1998–2002,"Action, Drama, Comedy",Spain,5.6,171,tt0124958,1998,56
The Baby-Sitters Club,1990–,Family,USA,7.4,385,tt0125602,1990,74
Clue Club,1976–1979,"Animation, Comedy, Family",USA,7.5,97,tt0125612,1976,75
Double Dare,1986–1988,"Comedy, Family, Game-Show",USA,7.5,940,tt0125616,1986,75
"Honey, I Shrunk the Kids: The TV Show",1997–2000,"Action, Adventure, Comedy, Family, Sci-Fi",USA,6.1,"1,156",tt0125622,1997,61
Mummies Alive!,1997–1998,"Animation, Action, Adventure","USA, Canada",7.2,867,tt0125633,1997,72
Nikola,1997–2005,Comedy,Germany,5.8,122,tt0125634,1997,58
The Adventures of Sam & Max: Freelance Police,1997–,"Animation, Adventure, Comedy","USA, Canada",7.8,398,tt0125646,1997,78
Beverly Hills Bordello,1996–,Drama,USA,6.2,96,tt0126145,1996,62
The Country Mouse and the City Mouse Adventures,1997–,"Animation, Adventure, Comedy","Canada, France, USA",7.9,82,tt0126149,1997,79
The Dame Edna Experience,1987–1989,"Comedy, Talk-Show",UK,7.1,160,tt0126151,1987,71
He-Man and the Masters of the Universe,1983–1985,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",USA,7.5,"14,462",tt0126158,1983,75
Police Academy: The Series,1997–1998,"Comedy, Crime",USA,5,924,tt0126168,1997,50
Popular Mechanics for Kids,1997–2005,"Documentary, Family","Canada, USA",8.5,507,tt0126169,1997,85
Recess,1997–2001,"Animation, Adventure, Comedy, Family",USA,7.9,"19,516",tt0126170,1997,79
She-Ra: Princess of Power,1985–1987,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",USA,6.8,"4,325",tt0126171,1985,68
Swat Kats: The Radical Squadron,1993–1995,"Animation, Action, Family, Sci-Fi, Thriller",USA,8.5,"3,399",tt0126173,1993,85
Tattooed Teenage Alien Fighters from Beverly Hills,1994–1995,Sci-Fi,USA,4,108,tt0126175,1994,40
The Uninvited,1997–,"Horror, Mystery, Sci-Fi, Thriller",UK,6.2,101,tt0126176,1997,62
Children in Need,1980–,Family,UK,6.2,158,tt0126739,1980,62
The Famous Five,1995–,Family,"UK, Canada, Germany",7.4,318,tt0126745,1995,74
Gøngehøvdingen,1992–,Drama,Denmark,5.5,204,tt0126749,1992,55
Pittige tijden,1996–1999,Comedy,Netherlands,7.5,151,tt0126754,1996,75
Windkracht 10,1997–1998,"Drama, Action","Belgium, Netherlands",7,143,tt0126764,1997,70
Austin Stories,1997–,Comedy,USA,8.4,122,tt0127370,1997,84
Hetty Wainthropp Investigates,1996–1998,"Comedy, Crime, Drama, Mystery, Romance",UK,7.7,"1,085",tt0127376,1996,77
Kenny Starfighter,1997–,"Action, Adventure, Comedy, Mystery, Sci-Fi",Sweden,7.7,"1,076",tt0127382,1997,77
Men in Black: The Series,1997–2001,"Animation, Action, Comedy, Family, Mystery, Sci-Fi",USA,6.8,"2,772",tt0127385,1997,68
Saban's Ninja Turtles: The Next Mutation,1997–1998,"Action, Adventure, Comedy, Family, Sci-Fi","Canada, USA",4.5,"1,159",tt0127388,1997,45
Transformers: Chôjin Master Force,1988–,"Animation, Family, Fantasy, Sci-Fi",Japan,7.5,157,tt0127396,1988,75
Team Knight Rider,1997–1998,"Action, Adventure, Sci-Fi",USA,4.8,822,tt0127398,1997,48
Transformers: The Headmasters,1987–,"Animation, Action, Adventure",Japan,7.2,544,tt0127402,1987,72
Transformers: Victory,1989–,"Animation, Family, Fantasy",Japan,7.8,192,tt0127403,1989,78
BraveStarr,1987–1989,"Animation, Action, Family, Sci-Fi, Western",USA,7.1,"2,050",tt0127471,1987,71
Ghostbusters,1986–1987,"Animation, Family, Sci-Fi",USA,6.5,"2,090",tt0127569,1986,65
Ark II,1976–1979,"Family, Sci-Fi",USA,7.4,291,tt0127989,1976,74
Card Sharks,1978–1989,"Family, Game-Show",USA,6.9,250,tt0127991,1978,69
Figure It Out,1997–2013,"Comedy, Family, Game-Show",USA,7.2,869,tt0127994,1997,72
Good News Week,1996–,"Comedy, Game-Show",Australia,7.9,295,tt0127998,1996,79
Monster Squad,1976,"Adventure, Family, Horror",USA,8.2,136,tt0128000,1976,82
Yi tian tu long ji,1986–,"Action, Drama","Hong Kong, China",8.2,74,tt0128002,1986,82
Nonstop Nonsens,1975–1980,Comedy,West Germany,7.8,148,tt0128003,1975,78
Taxa,1997–1999,Drama,Denmark,6.4,313,tt0128007,1997,64
Prey,1998,Sci-Fi,USA,7.8,461,tt0128419,1998,78
NightMan,1997–1999,"Action, Adventure, Drama, Sci-Fi","Canada, USA",6.3,515,tt0128886,1997,63
Pensacola: Wings of Gold,1997–2000,"Action, Drama",USA,6.1,576,tt0128889,1997,61
Pepper Ann,1997–2000,"Animation, Family, Comedy",USA,7.4,"2,732",tt0128890,1997,74
Spuk unterm Riesenrad,1979–,"Family, Adventure, Comedy",East Germany,8.1,119,tt0128895,1979,81
Ghost Stories,1997,,USA,4.7,48,tt0129117,1997,47
Starcom: The U.S. Space Force,1987,"Animation, Adventure, Family, Sci-Fi","Canada, USA",7.5,147,tt0129398,1987,75
I'm Alan Partridge,1997–2002,Comedy,UK,8.5,"16,152",tt0129690,1997,85
The Magnificent Seven,1998–2000,"Action, Western",USA,7.7,"1,309",tt0129695,1998,77
The Paul Hogan Show,1973–1984,Comedy,Australia,8.1,198,tt0129705,1973,81
Rab C. Nesbitt,1988–,Comedy,UK,7.7,946,tt0129709,1988,77
Room 101,1994–,"Comedy, Talk-Show",UK,6.5,"1,093",tt0129710,1994,65
The Royle Family,1998–2012,Comedy,UK,8.1,"5,401",tt0129711,1998,81
Saber Rider and the Star Sheriffs,1987–1988,"Animation, Action, Adventure, Sci-Fi","USA, Japan",8.5,"1,989",tt0129712,1987,85
"Süsü, a sárkány kalandjai",1976–,"Family, Fantasy, Musical",Hungary,8.8,362,tt0129719,1976,88
Marimar,1994–,Romance,Mexico,6.4,598,tt0130410,1994,64
"Mike Hammer, Private Eye",1997–1998,"Crime, Drama, Mystery",USA,7.5,347,tt0130416,1997,75
The New Tom & Jerry Show,1975–1977,"Animation, Family, Comedy",USA,7.9,"6,292",tt0130417,1975,79
The State,1993–2009,Comedy,USA,8.3,"2,213",tt0130421,1993,83
Alfresco,1983–1984,Comedy,UK,6.6,105,tt0131158,1983,66
Blankety Blank,1979–2016,Game-Show,UK,6.3,115,tt0131159,1979,63
Cat's Eye,1983–1985,"Animation, Action, Comedy, Crime, Mystery",Japan,7.3,568,tt0131160,1983,73
Dave Allen at Large,1971–1979,Comedy,UK,8.5,249,tt0131163,1971,85
Hitler's Generals,1996–,"Documentary, Biography, War",Germany,7.8,215,tt0131169,1996,78
In de vlaamsche pot,1990–1994,Comedy,Netherlands,6.4,102,tt0131171,1990,64
Lonesome Dove: The Outlaw Years,1995–1996,Western,Canada,7.7,348,tt0131176,1995,77
Detective Conan,1996–,"Animation, Comedy, Crime, Drama, Mystery, Romance, Thriller",Japan,8.4,"9,219",tt0131179,1996,84
The Raccoons,1985–1992,"Animation, Comedy, Drama, Family",Canada,7.6,"1,443",tt0131183,1985,76
Série rose,1986–1990,Comedy,France,7.1,91,tt0131187,1986,71
Ulysses 31,1981–1982,"Animation, Action, Adventure, Drama, Family, Sci-Fi","France, Japan",8.1,"1,527",tt0131190,1981,81
Sport Billy,1979–1980,"Animation, Sport",USA,6.7,342,tt0131598,1979,67
Teenage Mutant Ninja Turtles,1987–1996,"Animation, Action, Adventure, Comedy, Crime, Family, Mystery, Sci-Fi, Thriller",USA,7.9,"27,443",tt0131613,1987,79
The Angry Beavers,1997–2001,"Animation, Comedy, Family",USA,7.3,"11,648",tt0131664,1997,73
World Tour of Australia,1996–,,UK,8.1,118,tt0131665,1996,81
The Dennis Miller Show,1992–,"Comedy, Music, News",USA,5.7,110,tt0131667,1992,57
Legends of the Superheroes,1979,"Action, Comedy, Adventure",USA,6.2,352,tt0131675,1979,62
Virginie,1996–,"Comedy, Drama",Canada,4.9,97,tt0131689,1996,49
Viva Variety,1997–1999,Comedy,"Canada, USA",7.2,217,tt0132665,1997,72
The Wonderful World of Disney,1995–2005,"Animation, Action, Adventure",USA,7.3,218,tt0132666,1995,73
Hollywood the Golden Years: The RKO Story,1987–,"Documentary, History","USA, UK",8.6,92,tt0133010,1987,86
Maya the Bee,1975–1980,"Animation, Adventure, Comedy","Austria, Japan, West Germany",6.8,"2,725",tt0133295,1975,68
Desmond's,1989–1994,Comedy,UK,7.8,528,tt0133299,1989,78
Eldorado,1992–1993,,UK,5.3,141,tt0133301,1992,53
Frontline,1983–,Documentary,USA,8.6,"1,336",tt0133302,1983,86
The Gong Show,1976–1980,"Comedy, Game-Show",USA,7,593,tt0133303,1976,70
Juletestamentet,1995–,Drama,Denmark,7.4,127,tt0133306,1995,74
A kockásfülü nyúl,1978–,Animation,Hungary,7.3,130,tt0133307,1978,73
Mesék Mátyás királyról,1984–,"Animation, History",Hungary,8.5,317,tt0133312,1984,85
The Trials of Life,1990–,Documentary,UK,9,"1,445",tt0133318,1990,90
Vizipók-Csodapók,1980,Animation,,7.8,108,tt0134203,1980,78
Felicity,1998–2002,"Drama, Romance",USA,6.8,"9,425",tt0134247,1998,68
Howards' Way,1985–1990,Drama,UK,6.7,112,tt0134250,1985,67
Operation Good Guys,1997–2000,"Comedy, Crime",UK,8.3,376,tt0134257,1997,83
Prospects,1986–,,UK,8.2,121,tt0134259,1986,82
Stella Street,1997–,Comedy,UK,8.5,149,tt0134263,1997,85
Super Gran,1985–1987,"Comedy, Crime, Family, Fantasy",UK,6.4,345,tt0134264,1985,64
V.I.P.,1998–2002,"Action, Comedy, Crime, Drama, Thriller","Germany, USA",4.1,"3,941",tt0134269,1998,41
Life on Earth,1979–,Documentary,UK,9.1,"2,376",tt0135095,1979,91
The Living Planet,1984–,Documentary,UK,9,"1,655",tt0135096,1984,90
Löwenzahn,1981–,"Animation, Comedy, Family",West Germany,8,568,tt0135097,1981,80
Rex the Runt,1992–2001,"Animation, Comedy",UK,8,264,tt0135104,1992,80
Twitch City,1998–,Comedy,Canada,8.7,302,tt0135110,1998,87
Around the World with Willy Fog,1981–,"Animation, Adventure, Family","Spain, Japan",7.5,"2,320",tt0135114,1981,75
Emily of New Moon,1998–,Drama,Canada,7.7,343,tt0135727,1998,77
Terry and June,1979–1987,Comedy,UK,6.3,209,tt0135736,1979,63
Wish Me Luck,1987–1990,"War, Drama",UK,7.9,274,tt0135738,1987,79
Der König von St. Pauli,1998–,"Crime, Drama",Germany,6.4,200,tt0136356,1998,64
The Big Comfy Couch,1992–2007,Family,Canada,7.2,"1,053",tt0136634,1992,72
Eva & Adam,1999–2001,"Drama, Family","Sweden, Denmark",6.2,428,tt0136638,1999,62
Extreme Dinosaurs,1997,"Animation, Action, Adventure, Crime, Family, Sci-Fi",USA,6.7,472,tt0136639,1997,67
The Forgotten Toys,1997–1999,Animation,UK,8.2,45,tt0136640,1997,82
How Do You Want Me?,1998–1999,"Comedy, Drama",UK,7.8,384,tt0136643,1998,78
Mikrobi,1975–,"Animation, Family, Sci-Fi",Hungary,7.9,61,tt0136649,1975,79
Legacy from the Future - Fantastic Adventures of Family Mézga,1970–,"Animation, Comedy, Sci-Fi",Hungary,8.7,981,tt0136650,1970,87
Press Your Luck,1983–1986,"Family, Game-Show",USA,7.6,422,tt0136655,1983,76
Quack Pack,1996–1997,"Animation, Adventure, Comedy, Family",USA,6.8,"3,278",tt0136658,1996,68
SportsCenter,1979–,"News, Sport, Talk-Show",USA,8.3,"2,047",tt0136668,1979,83
The Wacky World of Tex Avery,1997–1998,"Animation, Comedy, Family","USA, France, Canada",4.9,200,tt0136680,1997,49
Arsène Lupin,1971–1974,Comedy,"France, Canada, Switzerland, Italy, Austria, Netherlands, Belgium, West Germany",7.6,236,tt0136713,1971,76
Beast King GoLion,1981–,"Animation, Action, Adventure, Fantasy, Sci-Fi",Japan,7.6,100,tt0137287,1981,76
Damon,1998–,Comedy,USA,7.5,138,tt0137299,1998,75
For Your Love,1998–2002,Comedy,USA,7.2,173,tt0137302,1998,72
Goodness Gracious Me,1998–2015,Comedy,UK,8.4,846,tt0137305,1998,84
The Karate Kid,1989–,"Animation, Action, Adventure",USA,5.2,132,tt0137311,1989,52
Kids Say the Darndest Things,1998–2000,"Comedy, Family, Reality-TV",USA,5.6,187,tt0137313,1998,56
Looking After Jo Jo,1998–,"Crime, Drama",UK,8.1,257,tt0137315,1998,81
Médico de Família,1998,"Comedy, Drama",,6.4,127,tt0137316,1998,64
"Sieben Tage, sieben Köpfe",1996–2005,"Documentary, Comedy",Germany,4.1,106,tt0137323,1996,41
Thomas and Sarah,1979–,Drama,UK,7,90,tt0137328,1979,70
"Two Guys, a Girl and a Pizza Place",1998–2001,"Comedy, Romance",USA,7.4,"14,531",tt0137330,1998,74
Åpen post,1998–2002,"Comedy, Talk-Show",Norway,8.2,318,tt0137335,1998,82
Bamses julerejse,1996–,Family,Denmark,7.3,157,tt0138223,1996,73
Countdown,1982–,Game-Show,UK,6.5,729,tt0138228,1982,65
Defenders of the Earth,1986–,"Animation, Action, Adventure",USA,7.4,927,tt0138230,1986,74
Mulheres de Areia,1993–,,Brazil,6.6,140,tt0138247,1993,66
Pedra Sobre Pedra,1992–,,"Brazil, Portugal",7.5,131,tt0138251,1992,75
Por Amor,1997–,"Drama, Romance",Brazil,7.8,196,tt0138254,1997,78
A Próxima Vítima,1995–,"Crime, Drama, Mystery",Brazil,8,170,tt0138256,1995,80
O Rei do Gado,1996–,,Brazil,7.4,229,tt0138257,1996,74
Roque Santeiro,1985,"Comedy, Fantasy",,7.9,188,tt0138258,1985,79
Tieta,1989–,,Brazil,7.6,115,tt0138267,1989,76
Xica da Silva,1996–,,Brazil,7.8,187,tt0138277,1996,78
SeaChange,1998–2000,"Comedy, Drama",Australia,8.2,482,tt0138785,1998,82
Thunderstone,1999–2000,"Adventure, Family, Fantasy",Australia,7.6,287,tt0138875,1999,76
An Unsuitable Job for a Woman,1997–,"Crime, Drama, Mystery",UK,7.3,217,tt0138899,1997,73
Escaflowne,1996–,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi, Thriller, War",Japan,7.9,"3,449",tt0138919,1996,79
